seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,source_family,analysis_cohort,env_reward,mechanism,mechanism_param_name,mechanism_param_value,config_key,alpha,beta
5,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,287.3024239969964,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
6,DQN_Entropy,0.01,0.95,161.72999572753906,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,161.72999572753906,269.5390259549895,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
7,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,275.7675107699906,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
8,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,274.7389932990045,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
9,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,293.3310586879961,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.01,0.01,
0,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1379.9312858340008,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
1,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1357.3903572609995,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
2,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,308.98066922900034,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
3,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,301.1424162589974,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
4,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,283.7456125859899,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
5,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,307.14431472199794,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
6,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,292.81949532800354,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
7,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,289.9267545600014,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
8,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,290.89073415599705,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
9,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,296.276036470008,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.95_a0.05,0.05,
0,DQN_Entropy,0.01,0.99,200.0,1.0,[CudaDevice(id=0)],[CudaDevice(id=0)],greedy,200.0,822.0934734249968,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
1,DQN_Entropy,0.01,0.99,200.0,1.0,[CudaDevice(id=0)],[CudaDevice(id=0)],greedy,200.0,818.4875619140003,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
2,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,302.82652466099535,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
3,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,320.9776027080079,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
4,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,301.1776160409936,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
5,DQN_Entropy,0.01,0.99,164.75999450683594,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,164.75999450683594,326.6037962860137,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
6,DQN_Entropy,0.01,0.99,145.25999450683594,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,145.25999450683594,315.5522324659978,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
7,DQN_Entropy,0.01,0.99,166.16000366210938,0.0499999970197677,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,166.16000366210938,318.3905815430044,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
8,DQN_Entropy,0.01,0.99,199.84999084472656,0.9300000071525574,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,199.84999084472656,317.1772553900082,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
9,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,321.7184384059947,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.01,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.01,0.01,
0,DQN_Entropy,0.01,0.99,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1376.504860932,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
1,DQN_Entropy,0.01,0.99,199.3000030517578,0.85999995470047,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,199.3000030517578,1398.394297122,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
2,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,347.2472259910137,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
3,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,341.26070301100845,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
4,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,354.8651158010034,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
5,DQN_Entropy,0.01,0.99,147.52000427246094,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,147.52000427246094,364.6720428980043,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
6,DQN_Entropy,0.01,0.99,184.52999877929688,0.1799999922513961,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,184.52999877929688,611.5134652120032,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
7,DQN_Entropy,0.01,0.99,155.05999755859375,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,155.05999755859375,604.9118385589973,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
8,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,607.4124622289964,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
9,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,619.4374893439963,cartpole,dense,dqn_entropy,cartpole,cartpole_dense,entropy,alpha,0.05,dqn_entropy/cartpole_dense/lr0.01_g0.99_a0.05,0.05,
0,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1205.6572252920014,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
1,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.929999351501465,1193.183056209,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
2,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,47.02999877929688,299.09926263199986,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
3,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,275.325723554,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
4,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.1899995803833,276.99814367,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
5,DQN_Entropy,0.0005,0.95,0.949999988079071,0.0499999970197677,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,123.62999725341795,331.22996403199977,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
6,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,37.09999847412109,286.35870389999945,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
7,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,266.0570939950003,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
8,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,32.66999816894531,282.17600811900047,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
9,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,43.37999725341797,295.5044188289994,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.01,0.01,
0,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1221.4153636919982,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
1,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.769999504089355,1214.318996062997,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
2,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,43.04999923706055,299.55789781100066,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
3,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,273.77619485000014,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
4,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,15.489999771118164,275.54818672999954,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
5,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,116.64999389648438,325.7088878149998,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
6,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,35.75,290.4351978909999,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
7,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,277.1704542010002,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
8,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,26.209999084472656,288.4423941790001,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
9,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,44.06999969482422,298.38200781999967,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.95_a0.05,0.05,
0,DQN_Entropy,0.0005,0.99,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1197.6949127200005,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
1,DQN_Entropy,0.0005,0.99,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,11.670000076293944,1198.6026027179996,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
2,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,43.77000045776367,248.97425153800003,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
3,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,232.78971674199997,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
4,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,13.130000114440918,234.967464397,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
5,DQN_Entropy,0.0005,0.99,0.959999978542328,0.0399999991059303,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,118.7199935913086,274.747078377,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
6,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,37.09999847412109,253.013493318,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
7,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,239.834018775,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
8,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,29.729999542236328,250.35404087100005,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
9,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,45.75,257.23756664199993,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.01,0.01,
0,DQN_Entropy,0.0005,0.99,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1197.6442491409998,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
1,DQN_Entropy,0.0005,0.99,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,10.829999923706056,1186.8316906389991,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
2,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,43.7599983215332,259.059173096,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
3,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,242.82186351500013,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
4,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.359999656677246,243.46764187100007,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
5,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,113.97000122070312,283.64434138900003,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
6,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,34.64999771118164,237.08501637299992,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
7,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,226.41920443800015,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
8,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,26.6299991607666,234.762573539,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
9,DQN_Entropy,0.0005,0.99,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,42.70000076293945,243.93350528399992,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.0005_g0.99_a0.05,0.05,
0,DQN_Entropy,0.001,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,10.710000038146973,1198.8987440590008,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
1,DQN_Entropy,0.001,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.31999969482422,1186.778574336,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
2,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,36.64999771118164,255.5112203220001,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
3,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,248.168674517,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
4,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,34.540000915527344,250.718887558,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
5,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,106.70999908447266,283.6646732620002,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
6,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,23.71999931335449,251.34590205600037,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
7,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,246.54730360899973,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
8,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,17.119998931884766,249.67179965399964,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
9,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,19.07999992370605,256.41995196000016,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.01,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.01,0.01,
0,DQN_Entropy,0.001,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,14.779999732971191,1223.6082171890012,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.05,0.05,
1,DQN_Entropy,0.001,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.31999969482422,1195.1603790609988,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.05,0.05,
2,DQN_Entropy,0.001,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,36.2599983215332,289.29199642899994,cartpole,sparse,dqn_entropy,cartpole,cartpole_sparse,entropy,alpha,0.05,dqn_entropy/cartpole_sparse/lr0.001_g0.95_a0.05,0.05,
