seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,env_reward,alpha
2,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,308.2933487120026,cartpole,dense,cartpole_dense,0.01
3,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,277.9363293320057,cartpole,dense,cartpole_dense,0.01
4,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,275.8317125009926,cartpole,dense,cartpole_dense,0.01
5,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,287.3024239969964,cartpole,dense,cartpole_dense,0.01
6,DQN_Entropy,0.01,0.95,161.72999572753906,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,161.72999572753906,269.5390259549895,cartpole,dense,cartpole_dense,0.01
7,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,275.7675107699906,cartpole,dense,cartpole_dense,0.01
8,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,274.7389932990045,cartpole,dense,cartpole_dense,0.01
9,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,293.3310586879961,cartpole,dense,cartpole_dense,0.01
0,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1379.9312858340008,cartpole,dense,cartpole_dense,0.05
1,DQN_Entropy,0.01,0.95,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1357.3903572609995,cartpole,dense,cartpole_dense,0.05
2,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,308.98066922900034,cartpole,dense,cartpole_dense,0.05
3,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,301.1424162589974,cartpole,dense,cartpole_dense,0.05
4,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,283.7456125859899,cartpole,dense,cartpole_dense,0.05
5,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,307.14431472199794,cartpole,dense,cartpole_dense,0.05
6,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,292.81949532800354,cartpole,dense,cartpole_dense,0.05
7,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,289.9267545600014,cartpole,dense,cartpole_dense,0.05
8,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,290.89073415599705,cartpole,dense,cartpole_dense,0.05
9,DQN_Entropy,0.01,0.95,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,296.276036470008,cartpole,dense,cartpole_dense,0.05
0,DQN_Entropy,0.01,0.99,200.0,1.0,[CudaDevice(id=0)],[CudaDevice(id=0)],greedy,200.0,822.0934734249968,cartpole,dense,cartpole_dense,0.01
1,DQN_Entropy,0.01,0.99,200.0,1.0,[CudaDevice(id=0)],[CudaDevice(id=0)],greedy,200.0,818.4875619140003,cartpole,dense,cartpole_dense,0.01
2,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,302.82652466099535,cartpole,dense,cartpole_dense,0.01
3,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,320.9776027080079,cartpole,dense,cartpole_dense,0.01
4,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,301.1776160409936,cartpole,dense,cartpole_dense,0.01
5,DQN_Entropy,0.01,0.99,164.75999450683594,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,164.75999450683594,326.6037962860137,cartpole,dense,cartpole_dense,0.01
6,DQN_Entropy,0.01,0.99,145.25999450683594,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,145.25999450683594,315.5522324659978,cartpole,dense,cartpole_dense,0.01
7,DQN_Entropy,0.01,0.99,166.16000366210938,0.0499999970197677,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,166.16000366210938,318.3905815430044,cartpole,dense,cartpole_dense,0.01
8,DQN_Entropy,0.01,0.99,199.84999084472656,0.9300000071525574,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,199.84999084472656,317.1772553900082,cartpole,dense,cartpole_dense,0.01
9,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,321.7184384059947,cartpole,dense,cartpole_dense,0.01
0,DQN_Entropy,0.01,0.99,200.0,1.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,200.0,1376.504860932,cartpole,dense,cartpole_dense,0.05
1,DQN_Entropy,0.01,0.99,199.3000030517578,0.85999995470047,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,199.3000030517578,1398.394297122,cartpole,dense,cartpole_dense,0.05
2,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,347.2472259910137,cartpole,dense,cartpole_dense,0.05
3,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,341.26070301100845,cartpole,dense,cartpole_dense,0.05
4,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,354.8651158010034,cartpole,dense,cartpole_dense,0.05
5,DQN_Entropy,0.01,0.99,147.52000427246094,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,147.52000427246094,364.6720428980043,cartpole,dense,cartpole_dense,0.05
6,DQN_Entropy,0.01,0.99,184.52999877929688,0.1799999922513961,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,184.52999877929688,611.5134652120032,cartpole,dense,cartpole_dense,0.05
7,DQN_Entropy,0.01,0.99,155.05999755859375,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,155.05999755859375,604.9118385589973,cartpole,dense,cartpole_dense,0.05
8,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,607.4124622289964,cartpole,dense,cartpole_dense,0.05
9,DQN_Entropy,0.01,0.99,200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,200.0,619.4374893439963,cartpole,dense,cartpole_dense,0.05
0,DQN_Entropy,0.1,0.99,200.0,1.0,[CudaDevice(id=0)],[CudaDevice(id=0)],greedy,200.0,1561.8897936139983,cartpole,dense,cartpole_dense,0.01
1,DQN_Entropy,0.1,0.99,120.0999984741211,1.0,[CudaDevice(id=0)],[CudaDevice(id=0)],greedy,120.0999984741211,1226.3496589409988,cartpole,dense,cartpole_dense,0.01
0,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1205.6572252920014,cartpole,sparse,cartpole_sparse,0.01
1,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.929999351501465,1193.183056209,cartpole,sparse,cartpole_sparse,0.01
2,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,47.02999877929688,299.09926263199986,cartpole,sparse,cartpole_sparse,0.01
3,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,275.325723554,cartpole,sparse,cartpole_sparse,0.01
4,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,10.1899995803833,276.99814367,cartpole,sparse,cartpole_sparse,0.01
5,DQN_Entropy,0.0005,0.95,0.949999988079071,0.0499999970197677,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,123.62999725341795,331.22996403199977,cartpole,sparse,cartpole_sparse,0.01
6,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,37.09999847412109,286.35870389999945,cartpole,sparse,cartpole_sparse,0.01
7,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.429999351501465,266.0570939950003,cartpole,sparse,cartpole_sparse,0.01
8,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,32.66999816894531,282.17600811900047,cartpole,sparse,cartpole_sparse,0.01
9,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,43.37999725341797,295.5044188289994,cartpole,sparse,cartpole_sparse,0.01
0,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.469999313354492,1221.4153636919982,cartpole,sparse,cartpole_sparse,0.05
1,DQN_Entropy,0.0005,0.95,1.0,0.0,"[CudaDevice(id=0), CudaDevice(id=1)]","[CudaDevice(id=0), CudaDevice(id=1)]",greedy,9.769999504089355,1214.318996062997,cartpole,sparse,cartpole_sparse,0.05
2,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,43.04999923706055,299.55789781100066,cartpole,sparse,cartpole_sparse,0.05
3,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,273.77619485000014,cartpole,sparse,cartpole_sparse,0.05
4,DQN_Entropy,0.0005,0.95,1.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,15.489999771118164,275.54818672999954,cartpole,sparse,cartpole_sparse,0.05
