seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type
4,PPO,0.0005,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.40999984741211,662.0095162999933,cartpole,sparse
0,PPO,0.001,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.15999984741211,666.8500014999881,cartpole,sparse
1,PPO,0.001,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.170000076293945,662.9774131000158,cartpole,sparse
2,PPO,0.001,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.260000228881836,673.3118567999918,cartpole,sparse
3,PPO,0.001,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.269999504089355,666.2315057000378,cartpole,sparse
4,PPO,0.001,0.99,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.40999984741211,667.0970298000029,cartpole,sparse
0,PPO,0.001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.15999984741211,664.7022300999961,cartpole,sparse
1,PPO,0.001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.170000076293945,666.6716768000042,cartpole,sparse
2,PPO,0.001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.260000228881836,666.2243779999553,cartpole,sparse
3,PPO,0.001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.269999504089355,666.2965786000132,cartpole,sparse
4,PPO,0.001,0.95,1.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,9.40999984741211,665.9671111999778,cartpole,sparse
0,PPO,0.0001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,617.8928990000277,mountaincar,dense
1,PPO,0.0001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,632.0767434000154,mountaincar,dense
2,PPO,0.0001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.5928461999865,mountaincar,dense
3,PPO,0.0001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,630.5720941000036,mountaincar,dense
4,PPO,0.0001,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.8913507999969,mountaincar,dense
0,PPO,0.0001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.7010971000418,mountaincar,dense
1,PPO,0.0001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,631.9464824000024,mountaincar,dense
2,PPO,0.0001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,629.1393462000415,mountaincar,dense
3,PPO,0.0001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,628.270471900003,mountaincar,dense
4,PPO,0.0001,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,625.744316199969,mountaincar,dense
0,PPO,0.0005,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,626.5737188999774,mountaincar,dense
1,PPO,0.0005,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,627.1259218999767,mountaincar,dense
2,PPO,0.0005,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,626.985329099989,mountaincar,dense
3,PPO,0.0005,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,624.0584476999938,mountaincar,dense
4,PPO,0.0005,0.99,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,625.3197219999856,mountaincar,dense
0,PPO,0.0005,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,625.7274506000103,mountaincar,dense
1,PPO,0.0005,0.95,-200.0,1.0,[CpuDevice(id=0)],[CpuDevice(id=0)],stochastic,200.0,625.8095959000057,mountaincar,dense
