seed,algorithm,learning_rate,gamma,final_mean_reward,final_success_rate,backend,devices,action,mean_length,wall_time_s,env_name,reward_type,env_reward,beta
9,DQN_RND,0.0005,0.99,9.309999465942385,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,9.309999465942385,399.2448816049946,cartpole,dense,cartpole_dense,1.0
0,DQN_RND,0.001,0.95,57.64999771118164,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,57.64999771118164,359.3955322309994,cartpole,dense,cartpole_dense,0.1
1,DQN_RND,0.001,0.95,71.58000183105469,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,71.58000183105469,356.9270956149994,cartpole,dense,cartpole_dense,0.1
2,DQN_RND,0.001,0.95,104.68999481201172,0.1700000017881393,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,104.68999481201172,358.7311108970007,cartpole,dense,cartpole_dense,0.1
3,DQN_RND,0.001,0.95,101.0199966430664,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,101.0199966430664,357.92860936800025,cartpole,dense,cartpole_dense,0.1
4,DQN_RND,0.001,0.95,127.04000091552734,0.1499999910593032,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,127.04000091552734,346.757035617,cartpole,dense,cartpole_dense,0.1
5,DQN_RND,0.001,0.95,53.46999740600586,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,53.46999740600586,341.2068233480004,cartpole,dense,cartpole_dense,0.1
6,DQN_RND,0.001,0.95,23.96999931335449,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,23.96999931335449,343.112406536,cartpole,dense,cartpole_dense,0.1
7,DQN_RND,0.001,0.95,49.55999755859375,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,49.55999755859375,344.0014462190011,cartpole,dense,cartpole_dense,0.1
8,DQN_RND,0.001,0.95,50.79999923706055,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,50.79999923706055,355.0248461700012,cartpole,dense,cartpole_dense,0.1
9,DQN_RND,0.001,0.95,93.0999984741211,0.0199999995529651,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,93.0999984741211,356.05053449300067,cartpole,dense,cartpole_dense,0.1
0,DQN_RND,0.001,0.95,53.79999923706055,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,53.79999923706055,342.4716105019997,cartpole,dense,cartpole_dense,1.0
1,DQN_RND,0.001,0.95,60.87999725341797,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,60.87999725341797,340.5555366969984,cartpole,dense,cartpole_dense,1.0
2,DQN_RND,0.001,0.95,140.5399932861328,0.4399999976158142,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,140.5399932861328,355.2708066760006,cartpole,dense,cartpole_dense,1.0
3,DQN_RND,0.001,0.95,62.21999740600586,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,62.21999740600586,353.3097116579993,cartpole,dense,cartpole_dense,1.0
4,DQN_RND,0.001,0.95,116.14999389648438,0.1199999973177909,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,116.14999389648438,350.23730777200035,cartpole,dense,cartpole_dense,1.0
5,DQN_RND,0.001,0.95,58.89999771118164,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,58.89999771118164,347.45682159600074,cartpole,dense,cartpole_dense,1.0
6,DQN_RND,0.001,0.95,43.63999938964844,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,43.63999938964844,353.51699828299934,cartpole,dense,cartpole_dense,1.0
7,DQN_RND,0.001,0.95,61.3599967956543,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,61.3599967956543,353.58558358499977,cartpole,dense,cartpole_dense,1.0
8,DQN_RND,0.001,0.95,49.43000030517578,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,49.43000030517578,354.27140710300046,cartpole,dense,cartpole_dense,1.0
9,DQN_RND,0.001,0.95,56.78999710083008,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,56.78999710083008,354.6199255270003,cartpole,dense,cartpole_dense,1.0
0,DQN_RND,0.001,0.99,60.18999862670898,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,60.18999862670898,390.0548151559997,cartpole,dense,cartpole_dense,0.1
1,DQN_RND,0.001,0.99,51.47999954223633,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,51.47999954223633,387.5807865120005,cartpole,dense,cartpole_dense,0.1
2,DQN_RND,0.001,0.99,44.75,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,44.75,358.26833578100195,cartpole,dense,cartpole_dense,0.1
3,DQN_RND,0.001,0.99,68.33000183105469,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,68.33000183105469,359.3621195849992,cartpole,dense,cartpole_dense,0.1
4,DQN_RND,0.001,0.99,88.44999694824219,0.0099999997764825,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,88.44999694824219,361.362724820996,cartpole,dense,cartpole_dense,0.1
5,DQN_RND,0.001,0.99,74.55999755859375,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,74.55999755859375,358.5291466569979,cartpole,dense,cartpole_dense,0.1
6,DQN_RND,0.001,0.99,56.369998931884766,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,56.369998931884766,352.573048304,cartpole,dense,cartpole_dense,0.1
7,DQN_RND,0.001,0.99,44.04999923706055,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,44.04999923706055,352.445251048,cartpole,dense,cartpole_dense,0.1
8,DQN_RND,0.001,0.99,74.0,0.0,[CpuDevice(id=0)],[CpuDevice(id=0)],greedy,74.0,360.527481644,cartpole,dense,cartpole_dense,0.1
